Region,Sales,Category,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Product ID,Sub-Category,Product Name
West,1,Office Supplies,CA-2016-143168,Second Class,IG-15085,Ivan Gibson,Consumer,United States,Seattle,Washington,OFF-BI-10003784,Binders,Computer Printout Index Tabs
West,1,Office Supplies,CA-2017-106978,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Aurora,Colorado,OFF-BI-10002012,Binders,Wilson Jones Easy Flow II Sheet Lifters
West,1,Office Supplies,CA-2018-114748,Standard Class,MZ-17335,Maria Zettner,Home Office,United States,Phoenix,Arizona,OFF-AR-10001315,Art,Newell 310
West,1,Office Supplies,CA-2019-129378,First Class,NS-18505,Neola Schneider,Consumer,United States,San Jose,California,OFF-BI-10002012,Binders,Wilson Jones Easy Flow II Sheet Lifters
West,1,Office Supplies,US-2019-100209,Standard Class,TD-20995,Tamara Dahlen,Consumer,United States,Portland,Oregon,OFF-BI-10002012,Binders,Wilson Jones Easy Flow II Sheet Lifters
West,1,Office Supplies,US-2019-162068,Second Class,PC-18745,Pamela Coakley,Corporate,United States,Loveland,Colorado,OFF-BI-10002813,Binders,Avery Reinforcements for Hole-Punch Pages
West,2,Office Supplies,CA-2016-100363,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Glendale,Arizona,OFF-FA-10000611,Fasteners,Binder Clips by OIC
West,2,Office Supplies,CA-2017-126466,Standard Class,JO-15550,Jesus Ocampo,Home Office,United States,Roseville,California,OFF-FA-10000490,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black"
West,2,Office Supplies,CA-2017-149636,Standard Class,SP-20620,Stefania Perrino,Corporate,United States,Colorado Springs,Colorado,OFF-BI-10002764,Binders,Recycled Pressboard Report Cover with Reinforced Top Hinge
West,2,Office Supplies,CA-2017-155586,Second Class,XP-21865,Xylona Preis,Consumer,United States,Chico,California,OFF-AR-10001547,Art,Newell 311
West,2,Office Supplies,CA-2018-114727,Standard Class,LS-16945,Linda Southworth,Corporate,United States,Denver,Colorado,OFF-BI-10004967,Binders,Round Ring Binders
West,2,Office Supplies,CA-2019-156391,First Class,SL-20155,Sara Luxemburg,Home Office,United States,Salem,Oregon,OFF-AR-10003251,Art,Prang Drawing Pencil Set
West,2,Office Supplies,CA-2019-166933,Standard Class,MG-17890,Michael Granlund,Home Office,United States,Santa Barbara,California,OFF-FA-10002676,Fasteners,Colored Push Pins
West,2,Office Supplies,US-2017-128090,Standard Class,JM-15865,John Murray,Consumer,United States,Phoenix,Arizona,OFF-AR-10002255,Art,Newell 346
West,2,Office Supplies,US-2017-160150,First Class,TS-21085,Thais Sissman,Consumer,United States,Phoenix,Arizona,OFF-BI-10004352,Binders,Wilson Jones DublLock D-Ring Binders
West,2,Office Supplies,US-2018-105578,Standard Class,MY-17380,Maribeth Yedwab,Corporate,United States,Parker,Colorado,OFF-BI-10000831,Binders,Storex Flexible Poly Binders with Double Pockets
West,2,Office Supplies,US-2018-158680,First Class,NZ-18565,Nick Zandusky,Home Office,United States,Seattle,Washington,OFF-BI-10000145,Binders,Zipper Ring Binder Pockets
West,2,Office Supplies,US-2019-107272,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,OFF-BI-10003274,Binders,"Avery Durable Slant Ring Binders, No Labels"
West,3,Office Supplies,CA-2016-114125,Standard Class,GH-14410,Gary Hansen,Home Office,United States,Los Angeles,California,OFF-LA-10004559,Labels,Avery 49
West,3,Office Supplies,CA-2016-133690,First Class,BS-11755,Bruce Stewart,Consumer,United States,Denver,Colorado,OFF-AP-10003622,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack"
West,3,Office Supplies,CA-2016-141838,Second Class,DK-12835,Damala Kotsonis,Corporate,United States,San Francisco,California,OFF-AR-10004272,Art,Newell 308
West,3,Office Supplies,CA-2016-155264,Second Class,RP-19270,Rachel Payne,Corporate,United States,San Francisco,California,OFF-BI-10003196,Binders,Accohide Poly Flexible Ring Binders
West,3,Office Supplies,CA-2016-157623,Standard Class,DK-13225,Dean Katz,Corporate,United States,Huntington Beach,California,OFF-AR-10003723,Art,Avery Hi-Liter Fluorescent Desk Style Markers
West,3,Office Supplies,CA-2016-163419,Second Class,TZ-21580,Tracy Zic,Consumer,United States,Louisville,Colorado,OFF-AR-10000034,Art,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack"
West,3,Office Supplies,CA-2017-101707,Standard Class,PF-19165,Philip Fox,Consumer,United States,San Diego,California,OFF-LA-10000134,Labels,Avery 511
West,3,Office Supplies,CA-2017-107741,First Class,FC-14335,Fred Chung,Corporate,United States,Pueblo,Colorado,OFF-AR-10002399,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush"
West,3,Office Supplies,CA-2017-130736,First Class,JF-15490,Jeremy Farry,Consumer,United States,Seattle,Washington,OFF-LA-10000634,Labels,Avery 509
West,3,Office Supplies,CA-2017-149384,Same Day,EH-13945,Eric Hoffmann,Consumer,United States,Tempe,Arizona,OFF-BI-10003196,Binders,Accohide Poly Flexible Ring Binders
West,3,Office Supplies,CA-2017-153416,Standard Class,TS-21340,Toby Swindell,Consumer,United States,Los Angeles,California,OFF-BI-10002813,Binders,Avery Reinforcements for Hole-Punch Pages
West,3,Office Supplies,CA-2017-163895,Standard Class,NS-18640,Noel Staavos,Corporate,United States,Boise,Idaho,OFF-BI-10004970,Binders,"ACCOHIDE 3-Ring Binder, Blue, 1"""
West,3,Office Supplies,CA-2018-143476,First Class,LC-16930,Linda Cazamias,Corporate,United States,Phoenix,Arizona,OFF-AR-10003759,Art,"Crayola Anti Dust Chalk, 12/Pack"
West,3,Office Supplies,CA-2018-149279,Standard Class,CL-12700,Craig Leslie,Home Office,United States,Colorado Springs,Colorado,OFF-BI-10004040,Binders,Wilson Jones Impact Binders
West,3,Office Supplies,CA-2018-160941,Standard Class,DK-12835,Damala Kotsonis,Corporate,United States,Roseville,California,OFF-LA-10003766,Labels,Self-Adhesive Removable Labels
West,3,Office Supplies,CA-2018-166163,Second Class,CY-12745,Craig Yedwab,Corporate,United States,Oakland,California,OFF-LA-10000452,Labels,Avery 488
West,3,Office Supplies,CA-2019-104080,Standard Class,AH-10210,Alan Hwang,Consumer,United States,Anaheim,California,OFF-AR-10001972,Art,Newell 323
West,3,Office Supplies,CA-2019-107293,First Class,CS-12400,Christopher Schild,Home Office,United States,Seattle,Washington,OFF-AR-10003732,Art,Newell 333
West,3,Office Supplies,CA-2019-130106,Standard Class,VF-21715,Vicky Freymann,Home Office,United States,San Francisco,California,OFF-AR-10003732,Art,Newell 333
West,3,Office Supplies,CA-2019-130141,Second Class,HA-14905,Helen Abelman,Consumer,United States,Fort Collins,Colorado,OFF-BI-10000831,Binders,Storex Flexible Poly Binders with Double Pockets
West,3,Office Supplies,CA-2019-156720,Standard Class,JM-15580,Jill Matthias,Consumer,United States,Loveland,Colorado,OFF-FA-10003472,Fasteners,Bagged Rubber Bands
West,3,Office Supplies,CA-2019-159107,Second Class,KT-16480,Kean Thornton,Consumer,United States,San Francisco,California,OFF-FA-10001332,Fasteners,"Acco Banker's Clasps, 5 3/4""-Long"
West,3,Office Supplies,US-2016-134187,Standard Class,TH-21235,Tiffany House,Corporate,United States,Long Beach,California,OFF-AR-10000940,Art,Newell 343
West,3,Office Supplies,US-2019-116652,Standard Class,RD-19480,Rick Duston,Consumer,United States,San Francisco,California,OFF-BI-10004528,Binders,Cardinal Poly Pocket Divider Pockets for Ring Binders
West,3,Office Supplies,US-2019-132444,First Class,CD-12280,Christina DeMoss,Consumer,United States,Seattle,Washington,OFF-FA-10000611,Fasteners,Binder Clips by OIC
West,4,Office Supplies,CA-2016-141110,Standard Class,LS-17200,Luke Schmidt,Corporate,United States,Fresno,California,OFF-BI-10002012,Binders,Wilson Jones Easy Flow II Sheet Lifters
West,4,Office Supplies,CA-2016-156594,Second Class,MC-17845,Michael Chen,Consumer,United States,Los Angeles,California,OFF-AR-10004269,Art,Newell 31
West,4,Office Supplies,CA-2016-161249,Standard Class,RD-19720,Roger Demir,Consumer,United States,Phoenix,Arizona,OFF-FA-10004838,Fasteners,"Super Bands, 12/Pack"
West,4,Office Supplies,CA-2016-168592,Standard Class,DP-13390,Dennis Pardue,Home Office,United States,San Francisco,California,OFF-FA-10002988,Fasteners,Ideal Clamps
West,4,Office Supplies,CA-2017-104346,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Colorado Springs,Colorado,OFF-AR-10001545,Art,Newell 326
West,4,Office Supplies,CA-2017-105312,First Class,MT-17815,Meg Tillman,Consumer,United States,Scottsdale,Arizona,OFF-BI-10002049,Binders,UniKeep View Case Binders
West,4,Office Supplies,CA-2017-130736,First Class,JF-15490,Jeremy Farry,Consumer,United States,Seattle,Washington,OFF-FA-10003467,Fasteners,"Alliance Big Bands Rubber Bands, 12/Pack"
West,4,Office Supplies,CA-2017-142692,Standard Class,AG-10495,Andrew Gjertsen,Corporate,United States,Seattle,Washington,OFF-BI-10004140,Binders,Avery Non-Stick Binders
West,4,Office Supplies,CA-2017-144099,Same Day,PO-19195,Phillina Ober,Home Office,United States,San Francisco,California,OFF-BI-10001078,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
West,4,Office Supplies,CA-2017-144267,First Class,NZ-18565,Nick Zandusky,Home Office,United States,San Francisco,California,OFF-PA-10003657,Paper,Xerox 1927
West,4,Office Supplies,CA-2018-105291,Standard Class,SP-20920,Susan Pistek,Consumer,United States,San Luis Obispo,California,OFF-FA-10003059,Fasteners,Assorted Color Push Pins
West,4,Office Supplies,CA-2018-106656,First Class,DV-13045,Darrin Van Huff,Corporate,United States,San Diego,California,OFF-EN-10001509,Envelopes,Poly String Tie Envelopes
West,4,Office Supplies,CA-2018-119018,Standard Class,CW-11905,Carl Weiss,Home Office,United States,Los Angeles,California,OFF-BI-10000494,Binders,Acco Economy Flexible Poly Round Ring Binder
West,4,Office Supplies,CA-2018-130029,First Class,GT-14755,Guy Thornton,Consumer,United States,Los Angeles,California,OFF-FA-10001135,Fasteners,"Brites Rubber Bands, 1 1/2 oz. Box"
West,4,Office Supplies,CA-2018-134348,Standard Class,MS-17710,Maurice Satty,Consumer,United States,Mesa,Arizona,OFF-BI-10004967,Binders,Round Ring Binders
West,4,Office Supplies,CA-2018-135776,Standard Class,EH-13765,Edward Hooks,Corporate,United States,Seattle,Washington,OFF-AR-10001231,Art,"Sanford EarthWrite Recycled Pencils, Medium Soft, #2"
West,4,Office Supplies,CA-2018-138933,First Class,JL-15130,Jack Lebron,Consumer,United States,Riverside,California,OFF-BI-10003355,Binders,Cardinal Holdit Business Card Pockets
West,4,Office Supplies,CA-2018-145583,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,OFF-FA-10002988,Fasteners,Ideal Clamps
West,4,Office Supplies,CA-2018-151372,First Class,JH-15985,Joseph Holt,Consumer,United States,Redondo Beach,California,OFF-FA-10000304,Fasteners,Advantus Push Pins
West,4,Office Supplies,CA-2018-159023,First Class,NW-18400,Natalie Webber,Consumer,United States,Portland,Oregon,OFF-BI-10002813,Binders,Avery Reinforcements for Hole-Punch Pages
West,4,Office Supplies,CA-2018-160395,Standard Class,KL-16555,Kelly Lampkin,Corporate,United States,Reno,Nevada,OFF-AR-10003759,Art,"Crayola Anti Dust Chalk, 12/Pack"
West,4,Office Supplies,CA-2019-113530,Second Class,BC-11125,Becky Castell,Home Office,United States,San Francisco,California,OFF-AR-10001315,Art,Newell 310
West,4,Office Supplies,CA-2019-115931,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Carlsbad,New Mexico,OFF-AR-10000369,Art,Design Ebony Sketching Pencil
West,4,Office Supplies,CA-2019-118724,Second Class,AR-10825,Anthony Rawles,Corporate,United States,Concord,California,OFF-AR-10003469,Art,Nontoxic Chalk
West,4,Office Supplies,CA-2019-121048,Standard Class,TC-21295,Toby Carlisle,Consumer,United States,Westminster,California,OFF-BI-10004022,Binders,Acco Suede Grain Vinyl Round Ring Binder
West,4,Office Supplies,CA-2019-122798,Standard Class,SV-20935,Susan Vittorini,Consumer,United States,Albuquerque,New Mexico,OFF-PA-10004239,Paper,Xerox 1953
West,4,Office Supplies,CA-2019-135167,Standard Class,SC-20800,Stuart Calhoun,Consumer,United States,Los Angeles,California,OFF-AR-10002399,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush"
West,4,Office Supplies,CA-2019-145772,Standard Class,SS-20140,Saphhira Shifley,Corporate,United States,Los Angeles,California,OFF-BI-10002049,Binders,UniKeep View Case Binders
West,4,Office Supplies,CA-2019-147452,First Class,CS-11845,Cari Sayre,Corporate,United States,Seattle,Washington,OFF-AP-10001626,Appliances,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags"
West,4,Office Supplies,CA-2019-158120,Standard Class,KH-16330,Katharine Harms,Corporate,United States,Hillsboro,Oregon,OFF-BI-10002813,Binders,Avery Reinforcements for Hole-Punch Pages
West,4,Office Supplies,CA-2019-162880,Standard Class,GD-14590,Giulietta Dortch,Corporate,United States,Everett,Washington,OFF-BI-10003314,Binders,Tuff Stuff Recycled Round Ring Binders
West,4,Office Supplies,US-2019-146416,Second Class,JE-16165,Justin Ellison,Corporate,United States,Woodland,California,OFF-LA-10003714,Labels,Avery 510
West,5,Office Supplies,CA-2016-108189,First Class,ES-14080,Erin Smith,Corporate,United States,Tempe,Arizona,OFF-FA-10000735,Fasteners,Staples
West,5,Office Supplies,CA-2016-124079,Standard Class,RF-19345,Randy Ferguson,Corporate,United States,Phoenix,Arizona,OFF-BI-10002103,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl"
West,5,Office Supplies,CA-2016-131947,Standard Class,JA-15970,Joseph Airdo,Consumer,United States,Springfield,Oregon,OFF-AR-10001473,Art,Newell 313
West,5,Office Supplies,CA-2016-160066,Standard Class,AH-10075,Adam Hart,Corporate,United States,Huntington Beach,California,OFF-LA-10001045,Labels,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal
West,5,Office Supplies,CA-2017-106978,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,United States,Aurora,Colorado,OFF-FA-10003021,Fasteners,Staples
West,5,Office Supplies,CA-2017-109939,Standard Class,AA-10375,Allen Armold,Consumer,United States,Salem,Oregon,OFF-AR-10000127,Art,Newell 321
West,5,Office Supplies,CA-2017-111507,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Bellevue,Washington,OFF-AR-10001315,Art,Newell 310
West,5,Office Supplies,CA-2017-113040,Standard Class,CC-12100,Chad Cunningham,Home Office,United States,Los Angeles,California,OFF-BI-10001249,Binders,Avery Heavy-Duty EZD View Binder with Locking Rings
West,5,Office Supplies,CA-2017-117611,Second Class,MZ-17335,Maria Zettner,Home Office,United States,San Diego,California,OFF-FA-10002280,Fasteners,Advantus Plastic Paper Clips
West,5,Office Supplies,CA-2017-122287,Standard Class,SN-20560,Skye Norling,Home Office,United States,Peoria,Arizona,OFF-BI-10004656,Binders,Peel & Stick Add-On Corner Pockets
West,5,Office Supplies,CA-2017-123568,Standard Class,SC-20095,Sanjit Chand,Consumer,United States,West Jordan,Utah,OFF-FA-10002701,Fasteners,Alliance Rubber Bands
West,5,Office Supplies,CA-2017-128167,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Layton,Utah,OFF-FA-10000490,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black"
West,5,Office Supplies,CA-2017-137946,Second Class,DB-13615,Doug Bickford,Consumer,United States,Los Angeles,California,OFF-BI-10001922,Binders,Storex Dura Pro Binders
West,5,Office Supplies,CA-2017-139164,Standard Class,CS-12355,Christine Sundaresam,Consumer,United States,Long Beach,California,OFF-FA-10003059,Fasteners,Assorted Color Push Pins
West,5,Office Supplies,CA-2017-162544,First Class,SG-20080,Sandra Glassco,Consumer,United States,Seattle,Washington,OFF-PA-10004948,Paper,Xerox 190
West,5,Office Supplies,CA-2017-164882,Same Day,SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,OFF-AR-10004272,Art,Newell 308
West,5,Office Supplies,CA-2018-103163,Standard Class,FM-14290,Frank Merwin,Home Office,United States,Bakersfield,California,OFF-BI-10003305,Binders,Avery Hanging File Binders
West,5,Office Supplies,CA-2018-103163,Standard Class,FM-14290,Frank Merwin,Home Office,United States,Bakersfield,California,OFF-PA-10004000,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle"
West,5,Office Supplies,CA-2018-134936,Standard Class,ES-14080,Erin Smith,Corporate,United States,Tucson,Arizona,OFF-BI-10002103,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl"
West,5,Office Supplies,CA-2018-138968,First Class,FC-14335,Fred Chung,Corporate,United States,San Francisco,California,OFF-BI-10003529,Binders,Avery Round Ring Poly Binders
West,5,Office Supplies,CA-2018-140417,Standard Class,KE-16420,Katrina Edelman,Corporate,United States,Tigard,Oregon,OFF-BI-10004828,Binders,GBC Poly Designer Binding Covers
West,5,Office Supplies,CA-2018-152534,Second Class,DP-13105,Dave Poirier,Corporate,United States,Salinas,California,OFF-AR-10002335,Art,DIXON Oriole Pencils
West,5,Office Supplies,CA-2018-158694,Second Class,AI-10855,Arianne Irving,Consumer,United States,Los Angeles,California,OFF-BI-10004656,Binders,Peel & Stick Add-On Corner Pockets
West,5,Office Supplies,CA-2019-101665,Standard Class,TZ-21580,Tracy Zic,Consumer,United States,San Francisco,California,OFF-AR-10002335,Art,DIXON Oriole Pencils
West,5,Office Supplies,CA-2019-102414,Second Class,JA-15970,Joseph Airdo,Consumer,United States,Phoenix,Arizona,OFF-BI-10004465,Binders,Avery Durable Slant Ring Binders
West,5,Office Supplies,CA-2019-121048,Standard Class,TC-21295,Toby Carlisle,Consumer,United States,Westminster,California,OFF-FA-10000490,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black"
West,5,Office Supplies,CA-2019-133648,Standard Class,ML-17755,Max Ludwig,Home Office,United States,Springfield,Oregon,OFF-AR-10002257,Art,"Eldon Spacemaker Box, Quick-Snap Lid, Clear"
West,5,Office Supplies,CA-2019-155460,First Class,RW-19630,Rob Williams,Corporate,United States,Seattle,Washington,OFF-PA-10002479,Paper,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)
West,5,Office Supplies,CA-2019-161893,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Tucson,Arizona,OFF-BI-10004506,Binders,Wilson Jones data.warehouse D-Ring Binders with DublLock
West,5,Office Supplies,CA-2019-167094,First Class,DK-12835,Damala Kotsonis,Corporate,United States,Springfield,Oregon,OFF-PA-10003953,Paper,Xerox 218
West,5,Office Supplies,US-2016-132745,Standard Class,NF-18475,Neil Französisch,Home Office,United States,Reno,Nevada,OFF-FA-10000254,Fasteners,Sterling Rubber Bands by Alliance
West,5,Office Supplies,US-2017-128090,Standard Class,JM-15865,John Murray,Consumer,United States,Phoenix,Arizona,OFF-LA-10000452,Labels,Avery 488
West,5,Office Supplies,US-2017-165743,Second Class,MM-18055,Michelle Moray,Consumer,United States,Aurora,Colorado,OFF-BI-10001982,Binders,Wilson Jones Custom Binder Spines & Labels
West,5,Office Supplies,US-2018-115819,Second Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,OFF-AR-10000823,Art,Newell 307
West,5,Office Supplies,US-2018-125402,Standard Class,DL-12865,Dan Lawera,Consumer,United States,Long Beach,California,OFF-LA-10001771,Labels,Avery 513
West,6,Office Supplies,CA-2016-101931,First Class,TS-21370,Todd Sumrall,Corporate,United States,Los Angeles,California,OFF-SU-10002301,Supplies,Serrated Blade or Curved Handle Hand Letter Openers
West,6,Office Supplies,CA-2016-107818,Standard Class,MC-17275,Marc Crier,Consumer,United States,Pasco,Washington,OFF-AR-10003045,Art,Prang Colored Pencils
West,6,Office Supplies,CA-2016-113271,Standard Class,DS-13030,Darrin Sayre,Home Office,United States,San Francisco,California,OFF-AR-10003251,Art,Prang Drawing Pencil Set
West,6,Office Supplies,CA-2016-129364,Standard Class,TB-21250,Tim Brockman,Consumer,United States,Salem,Oregon,OFF-BI-10001132,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11"""
West,6,Office Supplies,CA-2016-141901,Standard Class,GM-14500,Gene McClure,Consumer,United States,Fresno,California,OFF-PA-10001667,Paper,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright)
West,6,Office Supplies,CA-2016-142769,Same Day,RP-19390,Resi Pölking,Consumer,United States,Seattle,Washington,OFF-FA-10000840,Fasteners,OIC Thumb-Tacks
West,6,Office Supplies,CA-2016-146528,Second Class,VF-21715,Vicky Freymann,Home Office,United States,Los Angeles,California,OFF-PA-10002195,Paper,Xerox 1966
West,6,Office Supplies,CA-2016-146969,Standard Class,AP-10915,Arthur Prichep,Consumer,United States,Los Angeles,California,OFF-PA-10002105,Paper,Xerox 223
West,6,Office Supplies,CA-2016-159849,Same Day,JK-15640,Jim Kriz,Home Office,United States,San Francisco,California,OFF-FA-10000053,Fasteners,Revere Boxed Rubber Bands by Revere
West,6,Office Supplies,CA-2016-168158,Standard Class,EM-14140,Eugene Moren,Home Office,United States,Great Falls,Montana,OFF-BI-10001759,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue"
West,6,Office Supplies,CA-2017-112144,Standard Class,CY-12745,Craig Yedwab,Corporate,United States,Gilbert,Arizona,OFF-LA-10000443,Labels,Avery 501
West,6,Office Supplies,CA-2017-121965,Standard Class,LH-17155,Logan Haushalter,Consumer,United States,Los Angeles,California,OFF-PA-10004355,Paper,Xerox 231
West,6,Office Supplies,CA-2017-127502,Standard Class,MT-17815,Meg Tillman,Consumer,United States,San Francisco,California,OFF-LA-10001613,Labels,Avery File Folder Labels
West,6,Office Supplies,CA-2017-138002,Standard Class,BT-11305,Beth Thompson,Home Office,United States,Seattle,Washington,OFF-BI-10002160,Binders,Acco Hanging Data Binders
West,6,Office Supplies,CA-2017-139290,Standard Class,MY-17380,Maribeth Yedwab,Corporate,United States,Rancho Cucamonga,California,OFF-LA-10004008,Labels,Avery 507
West,6,Office Supplies,CA-2017-141593,Second Class,DB-12970,Darren Budd,Corporate,United States,Los Angeles,California,OFF-PA-10004983,Paper,Xerox 23
West,6,Office Supplies,CA-2017-147501,Standard Class,Co-12640,Corey-Lock,Consumer,United States,Seattle,Washington,OFF-BI-10002003,Binders,Ibico Presentation Index for Binding Systems
West,6,Office Supplies,CA-2017-151841,Standard Class,TC-21475,Tony Chapman,Home Office,United States,Aurora,Colorado,OFF-SU-10001574,Supplies,Acme Value Line Scissors
West,6,Office Supplies,CA-2017-155306,Standard Class,GA-14515,George Ashbrook,Consumer,United States,San Francisco,California,OFF-AR-10003251,Art,Prang Drawing Pencil Set
West,6,Office Supplies,CA-2018-101672,Standard Class,DB-12910,Daniel Byrd,Home Office,United States,Lake Forest,California,OFF-LA-10002271,Labels,Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set
West,6,Office Supplies,CA-2018-109806,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,OFF-PA-10000304,Paper,Xerox 1995
West,6,Office Supplies,CA-2018-131380,Second Class,CC-12220,Chris Cortes,Consumer,United States,Los Angeles,California,OFF-PA-10001243,Paper,Xerox 1983
West,6,Office Supplies,CA-2018-134348,Standard Class,MS-17710,Maurice Satty,Consumer,United States,Mesa,Arizona,OFF-BI-10003727,Binders,Avery Durable Slant Ring Binders With Label Holder
West,6,Office Supplies,CA-2018-137729,Standard Class,BF-11005,Barry Franz,Home Office,United States,Los Angeles,California,OFF-ST-10001505,Storage,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H"
